id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
303,FR_Balance,FR_E_Demand,2030,1,1.0,1.0,13,18,47461.38480340805
304,FR_Balance,FR_E_Demand,2030,1,1.0,1.0,19,24,51226.6747505385
305,LU_Balance,LU_Battery,2030,1,1.0,1.0,1,6,0.0
306,LU_Balance,LU_Battery,2030,1,1.0,1.0,7,12,0.0
307,LU_Balance,LU_Battery,2030,1,1.0,1.0,13,18,0.0
308,LU_Balance,LU_Battery,2030,1,1.0,1.0,19,24,0.0
309,CH_Balance,CH_E_Demand,2030,1,1.0,1.0,1,6,5043.925969143595
310,CH_Balance,CH_E_Demand,2030,1,1.0,1.0,7,12,6195.681222701235
311,CH_Balance,CH_E_Demand,2030,1,1.0,1.0,13,18,5940.122116733802
312,CH_Balance,CH_E_Demand,2030,1,1.0,1.0,19,24,5376.770807194867
313,BE_OCGT,BE_Balance,2030,1,1.0,1.0,1,6,0.0
314,BE_OCGT,BE_Balance,2030,1,1.0,1.0,7,12,0.0
315,BE_OCGT,BE_Balance,2030,1,1.0,1.0,13,18,0.0
316,BE_OCGT,BE_Balance,2030,1,1.0,1.0,19,24,0.0
317,LU_OCGT,LU_Balance,2030,1,1.0,1.0,1,6,0.0
318,LU_OCGT,LU_Balance,2030,1,1.0,1.0,7,12,0.0
319,LU_OCGT,LU_Balance,2030,1,1.0,1.0,13,18,0.0
320,LU_OCGT,LU_Balance,2030,1,1.0,1.0,19,24,0.0
321,NL_Coal,NL_Balance,2030,1,1.0,1.0,1,6,2435.4349231414426
322,NL_Coal,NL_Balance,2030,1,1.0,1.0,7,12,2354.6489720695204
323,NL_Coal,NL_Balance,2030,1,1.0,1.0,13,18,1121.7977399108959
324,NL_Coal,NL_Balance,2030,1,1.0,1.0,19,24,2368.3366024255997
325,BE_Balance,BE_E_Demand,2030,1,1.0,1.0,1,6,7441.136318238539
326,BE_Balance,BE_E_Demand,2030,1,1.0,1.0,7,12,9364.23596304849
327,BE_Balance,BE_E_Demand,2030,1,1.0,1.0,13,18,9606.808790483585
328,BE_Balance,BE_E_Demand,2030,1,1.0,1.0,19,24,8993.456807623976
329,BE_Solar,BE_Balance,2030,1,1.0,1.0,1,6,0.3252564618111984
330,BE_Solar,BE_Balance,2030,1,1.0,1.0,7,12,3685.3243457445274
331,BE_Solar,BE_Balance,2030,1,1.0,1.0,13,18,6106.704144140377
332,BE_Solar,BE_Balance,2030,1,1.0,1.0,19,24,425.7994685626414
333,NL_Balance,NL_E_Demand,2030,2,1.0,1.0,1,6,13252.604947604203
334,NL_Balance,NL_E_Demand,2030,2,1.0,1.0,7,12,15280.211458814065
335,NL_Balance,NL_E_Demand,2030,2,1.0,1.0,13,18,15818.802673848137
336,NL_Balance,NL_E_Demand,2030,2,1.0,1.0,19,24,14332.44694523125
337,NL_Solar,NL_Balance,2030,2,1.0,1.0,1,6,0.0
